English,Bangla
get a doctor ,ড ক ত র র ক ছ য ও।
ghosts exist ,ভ ত আছ ।
good evening ,শ ভ সন ধ য ।
good morning ,স প রভ ত।
grab my hand ,আম র হ তট ধর ন।
grab my hand ,আম র হ তট ধর ।
he got angry ,স র গ গ ছ ল ।
he got angry ,ত ন র গ গ ছ ল ন।
he got angry ,উন র গ গ ছ ল ন।
he got angry ,ইন র গ গ ছ ল ন।
he got angry ,ও র গ গ ছ ল ।
he is eating ,উন খ চ ছ ন।
he is eating ,ত ন খ চ ছ ন।
he is eating ,স খ চ ছ ।
he is eating ,ও খ চ ছ ।
hold my hand ,আম র হ তট ধর ন।
hold my hand ,আম র হ তট ধর ।
i am working ,আম ক জ করত ছ ।
i don t care ,আম পর য কর ন ।
i don t know ,আম জ ন ন ।
i drink beer ,আম ব য র খ ই।
i have a pen ,আম র একট কলম আছ ।
i have proof ,আম র ক ছ প রম ণ আছ ।
i teach here ,আম এখ ন পড ই।
i understand ,আম ব ঝ ।
i was a star ,আম একজন ত রক ছ ল ম।
i was amazed ,আম অব ক হয গ ছ ল ম।
i will fight ,আম লড ব ।
i won t come ,আম আসব ন ।
i won t lose!,আম হ রব ন ।
i ll be back ,আম ফ র আসব ।
i ll be late ,আম র দ র হব ।
i m a doctor ,আম ড ক ত র।
i m a doctor ,আম একজন ড ক ত র।
i m bleeding ,আম র রক ত ব র হচ ছ ।
i m poor now ,আম এখন গর ব।
i m pregnant ,আম গর ভবত ।
i m so happy ,আম খ ব খ শ ।
i m speaking ,আম কথ বলছ ।
i m too busy ,আম খ ব ব যস থ আছ ।
i ve seen it ,আম এট দ খ ছ ।
i ve seen it ,আম ওট দ খ ছ ।
is tom there?,টম ক ওখ ন আছ ?
it s a robot ,এট একট র বট।
it s raining ,ব ষ ট পড ছ ।
it s too low ,খ ব ন চ ।
it s too low ,এট খ ব ন চ ।
let go of me ,আম ক ছ ড দ ন।
let go of me ,আম ক ছ ড দ ও।
let me speak ,আম ক বলত দ ও।
let me speak ,আম ক কথ বলত দ ও।
let me speak ,আম ক বলত দ ন।
let me speak ,আম ক কথ বলত দ ন।
let s review ,প নর ব চ র কর য ক।
my arm hurts ,আম র হ ত ব য থ করছ ।
my feet hurt ,আম র প ব য থ করছ ।
my hip hurts ,আম র ক মর ব য থ করছ ।
my jaw hurts ,আম র ম র ব য থ করছ ।
now fix that ,এব র ওট ঠ ক কর ।
now fix that ,এব র ওট ঠ ক কর ন।
please hurry ,একট ত র ত র কর ন।
please hurry ,একট ত র ত র কর ।
someone came ,ক উ একজন এস ছ ল ন।
someone came ,ক উ এস ছ ল ।
stay at home ,ব ড ত ই থ ক ন।
stay at home ,ব ড ত থ ক ।
step outside ,ব ইর আস ।
step outside ,ব ইর আস ন।
stop the car ,গ ড থ ম ও।
stop yelling ,চ ক র কর বন ধ কর ।
stop yelling ,চ ক র কর বন ধ কর ন।
stop yelling ,চ চ ন বন ধ কর ন।
stop yelling ,চ চ ন বন ধ কর ।
that is mine ,ওট আম র।
this is mine ,এট আম র।
this is true ,এট সত য।
tom got hurt ,টম ব য থ প য ছ ল।
tom has died ,টম ম র গ ছ ।
tom has time ,টম র হ ত সময আছ ।
tom is there ,টম ওখ ন আছ ।
tom is tired ,টম ক ল ন ত।
tom knows it ,টম ওট জ ন ।
tom listened ,টম শ নল ।
tom loves me ,টম আম ক ভ ল ব স ।
tom saw them ,টম ত দ র দ খল ।
tom saw them ,টম ওদ র দ খল ।
tom saw them ,টম ওন দ র দ খল ।
tom screamed ,টম চ ক র করল ।
tom screamed ,টম চ চ ল ।
tom wants me ,টম র আম ক চ য ।
tom ll speak ,টম কথ বলব ।
tom s coming ,টম আসছ ।
tom s crying ,টম ক দছ ।
tom s famous ,টম ব খ য ত।
tom s strong ,টম শক ত শ ল ।
unbelievable!,অব শ ব স য!
wait outside ,ব ইর অপ ক ষ কর ন।
wait outside ,ব ইর অপ ক ষ কর ।
was tom here?,টম ক এখ ন ছ ল ?
we apologize ,আমর ক ষম চ ইছ ।
we are arabs ,আমর আরব।
we live here ,আমর এখ ন থ ক ।
we sat there ,আমর ওখ ন বস ছ ল ম।
we ll scream ,আমর চ ক র করব ।
we ll scream ,আমর চ চ ব ।
we re at war ,আমর য দ ধ আছ ।
we re coming ,আমর আসছ ।
we re hungry ,আমর ক ষ ধ র ত।
we re inside ,আমর ভ তর আছ ।
we re inside ,আমর ভ তর ।
what a nerve!,ক স হস!
what is that?,স ট ক ?
who are they?,ওর ক র ?
who are they?,ওন র ক র ?
who has come?,ক এস ছ ?
who has come?,ক ক এস ছ ?
who is there?,ক ওখ ন ?
who sent you?,আপন ক ক প ঠ য ছ ?
who ll drive?,ক চ ল ব ?
who s hungry?,ক র ক র খ দ প য ছ ?
you are rich ,আপন বড ল ক।
you are rich ,ত ম বড ল ক।
you are rich ,আপন ধন ।
you are rich ,ত ম ধন ।
you go first ,আপন প রথম য ন।
you go first ,ত ম প রথম য ও।
you go first ,আপন আগ য ন।
you go first ,ত ম আগ য ও।
you go first ,ত মর আগ য ও।
you go first ,ত মর প রথম য ও।
you go first ,আপন র আগ য ন।
you go first ,আপন র প রথম য ন।
you may swim ,স ত র ক টত প র ন।
you may swim ,স ত র ক টত প র।
you sit here ,আপন এখ ন বস ন।
you sit here ,ত ম এখ ন বস ।
you re lucky ,ত ম ভ গ যব ন।
a car hit tom ,একট গ ড টমক ধ ক ক ম রল।
any questions?,ক ন প রশ ন আছ ?
anything else?,আর ক ছ ?
are you there?,আপন ক ওখ ন আছ ন?
are you there?,ত ম ক ওখ ন আছ ?
are you tired?,আপন ক ক ল ন ত?
call a doctor ,ড ক ত র ড ক ।
call a doctor ,ড ক ত র ড ক ন।
did you speak?,আপন কথ বলল ন?
did you speak?,ত ম কথ বলল ?
do come again ,আব র আসব ন ক ন ত ।
do come again ,আব র আসব ক ন ত ।
don t call me ,আম ক ড ক ন ।
don t call me ,আম ক ড কব ন ন ।
don t come in ,ভ তর আসব ন ন ।
don t come in ,ভ তর আসব ন ।
don t hurt me ,আম ক ব থ দ য ন ।
don t hurt me ,আম ক ব থ দ ব ন ন ।
don t hurt me ,আম ক ব থ দ স ন ।
eat something ,ক ছ খ ন।
eat something ,ক ছ খ ও।
eat something ,ক ছ ত খ ন।
eat something ,ক ছ ত খ ও।
eat something ,ক ছ খ য ন ন।
eat something ,ক ছ খ য ন ও।
everyone dies ,সব ই ম র য য ।
flowers bloom ,ফ ল ফ ট ।
go over there ,ঐখ ন য ন।
go over there ,ঐখ ন য ও।
he looks pale ,ত ক ফ য ক স দ খ চ ছ ।
he looks pale ,ওক ফ য ক স দ খ চ ছ ।
he looks pale ,ওন ক ফ য ক স দ খ চ ছ ।
he sells cars ,স গ ড ব ক র কর ।
how old is he?,ওন র বয স কত?
how old is he?,ওর বয স কত?
how old is he?,ত র বয স কত?
hurry up tom ,ত র ত র টম।
hurry up tom ,ত র ত র কর টম।
i am coughing ,আম ক শছ ।
i am sneezing ,আম হ চ ছ ।
i am sneezing ,আম হ চ দ চ ছ ।
i can t do it ,আম এট করত প রব ন ।
i did my work ,আম আম র ক জ করল ম।
i do love you ,আম ত ম য ভ ল ব স ।
i exaggerated ,আম ব ড য বলল ম।
i feel hungry ,আম র খ দ প চ ছ ।
i had a fever ,আম র জ বর হয ছ ল।
i have a cold ,আম র ঠ ন ড ল গ ছ ।
i have asthma ,আম র হ প ন আছ ।
i have cancer ,আম র ক য ন স র হয ছ ।
i like apples ,আম আপ ল পছন দ কর ।
i like movies ,আম চলচ চ ত র পছন দ কর ।
i like tennis ,আম র ট ন স ভ ল ল গ ।
i like to eat ,আম খ ত ভ ল ব স ।
i like yellow ,আম হল দ রঙ পছন দ কর ।
i like yellow ,আম র হল দ রঙ পছন দ।
i love apples ,আম আপ ল ভ ল ব স ।
i married tom ,আম টমক শ দ কর ছ ।
i ran outside ,আম ব ইর দ ড গ ল ম।
i want to cry ,আম ক দত চ ই।
i wanted this ,আম এট চ য ছ ল ম।
i wanted this ,আম র এট প রয জন ছ ল ।
i was injured ,আম আহত হয ছ ল ম।
i was married ,আম ব ব হ ত ছ ল ম।
i was outside ,আম ব ইর ছ ল ম।
i was stunned ,আম অব ক হয গ ছ ল ম।
i was talking ,আম কথ বলছ ল ম।
i went aboard ,আম ব ইর গ ছ ল ম।
i went aboard ,আম ব দ শ গ ছ ল ম।
i went inside ,আম ভ তর গ ল ম।
i ll take him ,আম ওক ন য য ব ।
i ll take him ,আম ত ক ন য য ব ।
i ll take him ,আম ওন ক ন য য ব ।
i ll take him ,আম ত ক ন য য ব ।
i m tom s mom ,আম টম র ম ।
i m a student ,আম একজন ছ ত র।
i m a student ,আম একজন ছ ত র ।
i m exhausted ,আম হ প য গ ছ ।
i m exhausted ,আম ক ল ন ত।
i m not proud ,আম গর ব ত নই।
i m screaming ,আম চ ক র করছ ।
i m screaming ,আম চ চ চ ছ ।
i ve got wine ,আম র ক ছ ওয ইন আছ ।
i ve returned ,আম ফ র এস ছ ।
is that blood?,ওট ক রক ত?
it hurts here ,এখ ন ব যথ হচ ছ ।
it is raining ,ব ষ ট পড ছ ।
it isn t mine ,এট আম র নয ।
it s midnight ,এখন ম ঝর ত।
it s not mine ,এট আম র নয ।
just a minute ,এক ম ন ট।
just watch me ,শ ধ আম ক দ খ ন।
let tom speak ,টমক কথ বলত দ ও।
let tom speak ,টমক কথ বলত দ ন।
look at these ,এগ ল র দ ক দ খ ন।
look at these ,এগ ল র দ ক দ খ ।
my back hurts ,আম র প ঠ ব য থ করছ ।
my foot hurts ,আম র প ব য থ করছ ।
my head aches ,আম র ম থ ব য থ করছ ।
my knee hurts ,আম র হ ট ব য থ করছ ।
my name s tom ,আম র ন ম টম।
my neck hurts ,আম র ঘ ড ব য থ করছ ।
no thank you ,ন ধন যব দ।
see you later ,আব র পর দ খ হব ।
see you there ,ওখ ন দ খ হব ।
send me there ,আম ক ওখ ন প ঠ ন।
she got angry ,স র গ গ ছ ল ।
she got angry ,ত ন র গ গ ছ ল ন।
she got angry ,উন র গ গ ছ ল ন।
she got angry ,ইন র গ গ ছ ল ন।
she got angry ,ও র গ গ ছ ল ।
she is eating ,উন খ চ ছ ন।
she is eating ,ত ন খ চ ছ ন।
she is eating ,স খ চ ছ ।
she is eating ,ও খ চ ছ ।
she s my wife ,ও আম র স ত র ।
she s my wife ,উন আম র স ত র ।
she s my wife ,এ আম র স ত র ।
she s my wife ,ইন আম র স ত র ।
she s my wife ,স আম র স ত র ।
she s my wife ,ত ন আম র স ত র ।
somebody came ,ক উ একজন এস ছ ল ন।
speak clearly ,পর ষ ক র কর বল ন।
speak clearly ,পর ষ ক র কর বল ।
start the car ,গ ড ট চ ল কর ।
stop shouting ,চ ক র কর বন ধ কর ।
stop shouting ,চ ক র কর বন ধ কর ন।
stop shouting ,চ চ ন বন ধ কর ন।
stop shouting ,চ চ ন বন ধ কর ।
stop that car ,ঐ গ ড ট থ ম ও।
take me there ,আম ক ওখ ন ন য চল ন।
take us there ,আম দ র ওখ ন ন য চল ন।
take us there ,আম দ র ওখ ন ন য চল ।
that s a book ,ওট একট বই।
that s a book ,স ট একট বই।
that s my cat ,ওট আম র ব ড ল।
the war ended ,য দ ধ সম প ত হয ছ ।
they screamed ,ত র চ ক র করল ।
they screamed ,ত র চ ক র করল ন।
they screamed ,ওর চ ক র করল ।
they screamed ,ওন র চ ক র করল ন।
they screamed ,ওন র চ চ ল ন।
they screamed ,ওর চ চ ল ।
they screamed ,ত র চ চ ল ।
they screamed ,ত র চ চ ল ন।
they re small ,ত র ছ ট।
this is japan ,এট জ প ন।
tom applauded ,টম হ তত ল দ ল ।
tom came here ,টম এখ ন এল ।
tom got angry ,টম র গ গ ছ ল ।
tom hesitated ,টম ইতস তত করল ।
tom is coming ,টম আসছ ।
tom is crying ,টম ক দছ ।
tom is inside ,টম ভ তর আছ ।
tom is inside ,টম ভ তর ।
tom is my dad ,টম আম র ব ব ।
tom is nearby ,টম ক ছ ক ছ ই আছ ।
tom recovered ,টম স র উঠল ।
tom was there ,টম ওখ ন ছ ল ।
tom won t win ,টম জ তব ন ।
tom s elderly ,টম বয স ক।
tom s injured ,টম আহত হয ছ ।
tom s injured ,টম আহত।
tom s resting ,টম আর ম করছ ।
tom s strange ,টম অদ ভ ত।
tom s trapped ,টম আটক পর ছ ।
tom s wounded ,টম আহত হয ছ ।
tom s wounded ,টম ঘ য ল হয ছ ।
tom s yelling ,টম চ ক র করছ ।
tom s yelling ,টম চ চ চ ছ ।
was tom there?,টম ক ওখ ন ছ ল ?
we are at war ,আমর য দ ধ আছ ।
we re doctors ,আমর ড ক ত র।
we re married ,আমর ব ব হ ত।
we re trapped ,আমর আটক পর ছ ।
we re winning ,আমর জ তছ ।
